2010 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [15508 30/09/2010 14:57:47      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"ACT","101","Canberra","8817","Griffith","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","691","48.460"
"ACT","101","Canberra","8817","Griffith","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","735","51.540"
"ACT","101","Canberra","8817","Griffith","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","289","79.830"
"ACT","101","Canberra","8817","Griffith","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","73","20.170"
"ACT","101","Canberra","8829","Barton","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","939","56.840"
"ACT","101","Canberra","8829","Barton","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","713","43.160"
"ACT","101","Canberra","8829","Barton","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","80","14.870"
"ACT","101","Canberra","8829","Barton","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","458","85.130"
"ACT","101","Canberra","8840","Yarralumla","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","703","48.620"
"ACT","101","Canberra","8840","Yarralumla","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","743","51.380"
"ACT","101","Canberra","8840","Yarralumla","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","53","14.800"
"ACT","101","Canberra","8840","Yarralumla","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","305","85.200"
"ACT","101","Canberra","8884","Isabella Plains","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1286","58.690"
"ACT","101","Canberra","8884","Isabella Plains","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","905","41.310"
"ACT","101","Canberra","8884","Isabella Plains","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","96","22.170"
"ACT","101","Canberra","8884","Isabella Plains","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","337","77.830"
"ACT","101","Canberra","11452","Calwell","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","931","43.280"
"ACT","101","Canberra","11452","Calwell","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1220","56.720"
"ACT","101","Canberra","11452","Calwell","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","346","78.640"
"ACT","101","Canberra","11452","Calwell","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","94","21.360"
"ACT","101","Canberra","11877","Bonython","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","983","56.890"
"ACT","101","Canberra","11877","Bonython","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","745","43.110"
"ACT","101","Canberra","11877","Bonython","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","79","25.080"
