division,state,ALP2PP,party,Total_population,Population_density1,LogPopDens,Persons_who_lived_at_a_different_address_5_years_ago,Persons_aged_under_5_years,Under5%A,Persons_aged_5_to_14_years,5to14%,Persons_aged_15_to_24_years,15to14%,Persons_aged_25_to_64_years,25to64%,Persons_aged_65_years_and_over,65pllus%,Median_age,Total_dependency_ratio3,Elderly_dependency_ratio5,Persons_of_Christian_religion,Christian%,Persons_of_Catholic_religion,Catholic%,Persons_of_Islamic_religion,Muslim%,Persons_of_no_religion,Atheist%,Persons_of_Indigenous_origin,Indiginous%,Persons_born_overseas,Overseas%,Persons_born_overseas_and_resident_in_Australia_since_2000,AusSince2000%,Persons_born_in_non-English_speaking_countries,NonEngBorn%,Persons_born_in_the_United_Kingdom_or_Ireland,UKIreBorn%,Persons_who_speak_English_not_well_or_not_at_all,BadEng%,Persons_speaking_a_language_other_than_English_at_home,OthEngHome%,Couple_families_with_dependent_children,DepChildren%,Couple_families_with_no_children,NoChild%,One_parent_families_with_dependent_children,OneParent%,Lone_person_households,Lone%,Persons_engaged_in_unpaid_child_care7,UnPaidCC%,Families_with_weekly_income_below_$650,Below650%,Families_with_weekly_income_$2000_and_above,Above2000%,Median_weekly_family_income,Individuals_with_weekly_income_below_$1000,IndBelow1000%,Persons_attending_infant/primary_or_secondary_school,Prim/Sec%,Persons_attending_non-government_infant/primary_or_secondary_school,PrivateSchool%,Persons_attending_a_tertiary_education_institution11,Tertiary%,Persons_whose_highest_level_of_schooling_completed_is_Year_10_or_below,Yr10Below%,Persons_with_university_qualifications,Degrees%,Households_with_an_internet_connection,Internet%,Households_with_a_broadband_internet_connection,,Occupied_private_dwellings,Rented_dwellings,Fully_owned_dwellings,Dwellings_being_purchased,Median_monthly_housing_loan_repayment,Median_weekly_rent,Flat_unit_or_apartment_dwellings,Persons_in_non-private_dwellings14,GovtHouse%,Dwellings_with_two_or_more_motor_vehicles,Employed_persons,Employed%,Unemployed_persons,Unemp%,Unemployed_persons_aged_15_to_19_years,Unemp15to24%,Unemployed_persons_aged_45_years_and_over,Unemp45+%,Labour_force20,Labourforce%,Labour_force_aged_45_years_and_over22,LabourForce45+%,Women_in_the_labour_force24,WomenLabour%,Persons_employed_in_agriculture,Ag%,Persons_employed_in_mining,Mine%,Persons_employed_in_manufacturing,Manu%,Persons_employed_in_accommodation_and_food_services,Accomm%,Persons_employed_in_professional_or_managerial_occupations,Prof%,Persons_using_public_transport_to_travel_to_work,
Kennedy,(Qld),42.49,Ind,146617,0.3,-0.5229,55766,10541,0.0719,23531,0.1605,17362,0.1184,76747,0.5235,18414,0.1256,37,1.79,5.11,98856,0.6742,42339,0.2888,320,0.0022,25513,0.174,18558,0.1266,16041,0.1094,1653,0.0113,8454,0.0577,4116,0.0281,1007,0.0069,8784,0.0599,13511,0.0922,15359,0.1048,4263,0.0291,11924,0.0813,31547,0.2152,9629,0.0657,4681,0.0319,1065,14204,0.0969,23851,0.1627,6475,0.0442,3416,0.0233,55092,0.3758,8203,0.0559,25989,0.1773,12848,0.0876,50080,15812,18411,13537,1012,127,3163,8670,0.0591,25993,64285,0.4385,2997,0.0204,473,0.0032,966,0.0066,67352,0.4594,27690,0.1889,29666,0.2023,8824,0.0602,4353,0.0297,5055,0.0345,4031,0.0275,17446,0.119,1141,0.0078
Kingsford_Smith,(NSW),63.29,ALP,146067,2687,3.4293,55812,8158,0.0559,13959,0.0956,22965,0.1572,81278,0.5564,19741,0.1352,35,2.49,5.28,88860,0.6084,45461,0.3112,4534,0.031,22685,0.1553,2039,0.014,55188,0.3778,13179,0.0902,42233,0.2891,7287,0.0499,5858,0.0401,47810,0.3273,12134,0.0831,12655,0.0866,3384,0.0232,14998,0.1027,26738,0.1831,6588,0.0451,10354,0.0709,1411,21744,0.1489,15519,0.1062,8158,0.0559,15425,0.1056,31609,0.2164,30357,0.2078,34892,0.2389,25682,0.1758,54227,24013,16032,12202,2120,295,26659,6867,0.047,17247,70383,0.4819,3602,0.0247,498,0.0034,820,0.0056,73998,0.5066,23336,0.1598,35318,0.2418,126,0.0009,62,0.0004,4347,0.0298,5362,0.0367,27753,0.19,16423,0.1124
Kingston,(SA),54.42,ALP,139024,370.1,2.5683,46890,8604,0.0619,19610,0.1411,19169,0.1379,75009,0.5395,16640,0.1197,37,2.1,5.66,76141,0.5477,22560,0.1623,352,0.0025,41782,0.3005,1574,0.0113,30348,0.2183,2939,0.0211,8843,0.0636,19008,0.1367,612,0.0044,8016,0.0577,13768,0.099,14560,0.1047,5017,0.0361,12136,0.0873,34386,0.2473,9819,0.0706,4066,0.0292,1067,16285,0.1171,23041,0.1657,6442,0.0463,6445,0.0464,38730,0.2786,8915,0.0641,31982,0.23,16441,0.1183,52321,11438,15612,23486,997,168,2344,1202,0.0086,27830,64780,0.466,4154,0.0299,893,0.0064,983,0.0071,68890,0.4955,25958,0.1867,32106,0.2309,981,0.0071,374,0.0027,10342,0.0744,3397,0.0244,14597,0.105,3489,0.0251
Kooyong,(Vic.),40.47,LP,125608,2550.9,3.4067,46398,6620,0.0527,15376,0.1224,19940,0.1587,65398,0.5207,18270,0.1455,37,2.12,4.67,74210,0.5908,32297,0.2571,827,0.0066,28095,0.2237,137,0.0011,33167,0.2641,7897,0.0629,24391,0.1942,5160,0.0411,2916,0.0232,27012,0.215,13833,0.1101,10609,0.0845,2375,0.0189,11805,0.094,27015,0.2151,3573,0.0284,13579,0.1081,1996,18212,0.145,19275,0.1535,10538,0.0839,12993,0.1034,15035,0.1197,40733,0.3243,33888,0.2698,25762,0.2051,45639,12709,18395,13144,1921,254,10628,3247,0.0259,23400,62621,0.4985,2568,0.0204,479,0.0038,581,0.0046,65222,0.5193,26135,0.2081,31420,0.2501,179,0.0014,206,0.0016,3982,0.0317,3821,0.0304,35018,0.2788,9954,0.0792
La_Trobe,(Vic.),49.49,LP,132841,184.2,2.2653,46449,8995,0.0677,20407,0.1536,17932,0.135,72231,0.5437,13267,0.0999,36,2.11,6.8,74521,0.561,30879,0.2325,725,0.0055,37257,0.2805,502,0.0038,25471,0.1917,2676,0.0201,12174,0.0916,10300,0.0775,733,0.0055,10851,0.0817,15427,0.1161,11655,0.0877,3624,0.0273,8986,0.0676,33366,0.2512,5645,0.0425,7102,0.0535,1287,17540,0.132,23394,0.1761,7870,0.0592,6562,0.0494,34228,0.2577,13777,0.1037,31484,0.237,21195,0.1596,45575,7205,14147,22887,1295,199,2025,1711,0.0129,29139,66923,0.5038,2902,0.0218,679,0.0051,767,0.0058,69804,0.5255,26698,0.201,32219,0.2425,621,0.0047,83,0.0006,10240,0.0771,2964,0.0223,19790,0.149,3001,0.0226
Lalor,(Vic.),65.53,ALP,158127,161.1,2.2071,61457,12364,0.0782,24742,0.1565,23068,0.1459,86688,0.5482,11247,0.0711,32,2.27,9.76,100988,0.6387,53340,0.3373,4167,0.0264,30230,0.1912,1137,0.0072,36984,0.2339,5829,0.0369,24742,0.1565,8068,0.051,3091,0.0195,29010,0.1835,17977,0.1137,12508,0.0791,5371,0.034,9176,0.058,37724,0.2386,8250,0.0522,7402,0.0468,1197,22187,0.1403,27238,0.1723,10190,0.0644,6923,0.0438,43273,0.2737,12175,0.077,33531,0.2121,22761,0.1439,52121,10199,13758,26443,1264,184,2468,2041,0.0129,31106,73963,0.4677,4669,0.0295,964,0.0061,1041,0.0066,78648,0.4974,25464,0.161,35389,0.2238,579,0.0037,124,0.0008,10572,0.0669,3923,0.0248,16920,0.107,4390,0.0278
Leichhardt,(Qld),54.03,ALP,143979,1,0,62853,11026,0.0766,21350,0.1483,18935,0.1315,80708,0.5606,11937,0.0829,34,2.25,8.35,87865,0.6103,32376,0.2249,384,0.0027,30199,0.2097,23561,0.1636,24409,0.1695,4601,0.032,11998,0.0833,6705,0.0466,1067,0.0074,21409,0.1487,12716,0.0883,13291,0.0923,5261,0.0365,12686,0.0881,31980,0.2221,7463,0.0518,5244,0.0364,1140,15414,0.1071,20987,0.1458,6408,0.0445,5905,0.041,40468,0.2811,12746,0.0885,29816,0.2071,19274,0.1339,49986,21136,11417,15258,1258,179,8410,9737,0.0676,22742,70158,0.4873,3125,0.0217,494,0.0034,819,0.0057,73265,0.5089,26278,0.1825,34350,0.2386,935,0.0065,699,0.0049,3850,0.0267,7881,0.0547,19025,0.1321,1304,0.0091
Lilley,(Qld),58.59,ALP,134619,912.5,2.9602,50748,8613,0.064,16114,0.1197,17352,0.1289,71334,0.5299,21230,0.1577,37,1.93,4.18,93229,0.6925,42309,0.3143,472,0.0035,22741,0.1689,2463,0.0183,23610,0.1754,4059,0.0302,11715,0.087,5763,0.0428,1162,0.0086,11513,0.0855,12270,0.0911,13790,0.1024,3964,0.0294,14329,0.1064,30514,0.2267,6588,0.0489,7601,0.0565,1251,16134,0.1198,17708,0.1315,7589,0.0564,7749,0.0576,40114,0.298,17953,0.1334,32255,0.2396,22213,0.165,51942,15772,17780,16822,1342,214,6149,3285,0.0244,23650,66314,0.4926,2496,0.0185,535,0.004,605,0.0045,68811,0.5112,24176,0.1796,32827,0.2439,176,0.0013,252,0.0019,6287,0.0467,3830,0.0285,20872,0.155,7816,0.0581
Lindsay,(NSW),56.78,ALP,141940,416.7,2.6198,46557,10801,0.0761,21472,0.1513,21580,0.152,75668,0.5331,12424,0.0875,32,2.18,7.83,105672,0.7445,47372,0.3337,1965,0.0138,17560,0.1237,3643,0.0257,28010,0.1973,2691,0.019,16367,0.1153,8475,0.0597,1533,0.0108,17017,0.1199,14878,0.1048,11280,0.0795,4884,0.0344,9767,0.0688,34277,0.2415,7134,0.0503,7555,0.0532,1254,18781,0.1323,23362,0.1646,8920,0.0628,6963,0.0491,54359,0.383,9545,0.0672,29671,0.209,21154,0.149,48045,13755,13147,19684,1593,205,3339,3017,0.0213,25085,67620,0.4764,3883,0.0274,815,0.0057,847,0.006,71521,0.5039,24265,0.171,32514,0.2291,443,0.0031,150,0.0011,8623,0.0608,3715,0.0262,15764,0.1111,5213,0.0367
Lingiari,(NT),61.16,ALP,101341,0.1,-1,31855,8911,0.0879,18581,0.1834,15627,0.1542,53756,0.5304,4466,0.0441,29,2.17,15.54,55138,0.5441,18729,0.1848,877,0.0087,21977,0.2169,44103,0.4352,9419,0.0929,1840,0.0182,4336,0.0428,2602,0.0257,531,0.0052,33293,0.3285,9488,0.0936,6510,0.0642,3401,0.0336,5790,0.0571,24194,0.2387,6118,0.0604,3941,0.0389,1094,9889,0.0976,15978,0.1577,4010,0.0396,2858,0.0282,32821,0.3239,6675,0.0659,13138,0.1296,6381,0.063,25888,13709,3935,6787,1250,66,1859,9462,0.0934,10649,40224,0.3969,2221,0.0219,335,0.0033,438,0.0043,42550,0.4199,14944,0.1475,19275,0.1902,1701,0.0168,1156,0.0114,1751,0.0173,2631,0.026,11173,0.1103,1423,0.014
Longman,(Qld),53.57,ALP,119266,99.2,1.9965,53490,8188,0.0687,18619,0.1561,15020,0.1259,61372,0.5146,16062,0.1347,37,1.78,4.76,77486,0.6497,24362,0.2043,168,0.0014,24906,0.2088,2545,0.0213,18138,0.1521,2284,0.0192,5646,0.0473,7261,0.0609,333,0.0028,4120,0.0345,11812,0.099,13209,0.1108,3951,0.0331,7742,0.0649,28149,0.236,8554,0.0717,3697,0.031,1060,12628,0.1059,19679,0.165,3986,0.0334,3898,0.0327,45323,0.38,6299,0.0528,25361,0.2126,15075,0.1264,41126,11043,12962,15797,1260,205,1800,2321,0.0195,22643,50279,0.4216,3018,0.0253,691,0.0058,737,0.0062,53319,0.4471,19765,0.1657,24476,0.2052,1577,0.0132,279,0.0023,6168,0.0517,2819,0.0236,10788,0.0905,2415,0.0202
Lyne,(NSW),41.42,Ind,121963,10.1,1.0043,48602,6368,0.0522,16688,0.1368,12758,0.1046,60242,0.4939,25899,0.2124,44,1.49,2.82,90765,0.7442,27131,0.2225,120,0.001,17881,0.1466,3979,0.0326,11311,0.0927,902,0.0074,3647,0.0299,5722,0.0469,149,0.0012,2263,0.0186,10044,0.0824,16278,0.1335,4035,0.0331,12537,0.1028,24943,0.2045,12253,0.1005,2712,0.0222,851,11077,0.0908,19118,0.1568,5815,0.0477,4216,0.0346,57229,0.4692,8188,0.0671,25127,0.206,13089,0.1073,47699,11974,20792,12845,1153,171,3984,3556,0.0292,21478,44353,0.3637,4590,0.0376,774,0.0063,1598,0.0131,48866,0.4007,22059,0.1809,22971,0.1883,2129,0.0175,189,0.0015,3646,0.0299,3549,0.0291,12988,0.1065,248,0.002
Lyons,(Tas.),58.78,ALP,95606,2.9,0.4624,33073,5946,0.0622,14336,0.1499,10290,0.1076,51757,0.5414,13243,0.1385,40,1.85,4.69,62566,0.6544,15414,0.1612,70,0.0007,19300,0.2019,3356,0.0351,8257,0.0864,540,0.0056,2286,0.0239,4775,0.0499,75,0.0008,1368,0.0143,9021,0.0944,11389,0.1191,3052,0.0319,8497,0.0889,21085,0.2205,8638,0.0903,1921,0.0201,902,9188,0.0961,15141,0.1584,2981,0.0312,3290,0.0344,43492,0.4549,5134,0.0537,17613,0.1842,6900,0.0722,35500,7540,14377,12239,823,118,834,1676,0.0175,20884,37957,0.397,2959,0.0309,474,0.005,896,0.0094,40954,0.4284,17843,0.1866,18310,0.1915,4539,0.0475,308,0.0032,4444,0.0465,2684,0.0281,10061,0.1052,411,0.0043
Macarthur,(NSW),49.28,ALP,130479,165.5,2.2188,43866,10331,0.0792,21535,0.165,19674,0.1508,68799,0.5273,10158,0.0779,32,2.11,8.71,98546,0.7553,43904,0.3365,2859,0.0219,14726,0.1129,2893,0.0222,25307,0.194,2139,0.0164,15112,0.1158,7115,0.0545,1735,0.0133,17835,0.1367,14877,0.114,9766,0.0748,4479,0.0343,6492,0.0498,32704,0.2506,6401,0.0491,7599,0.0582,1293,17610,0.135,23780,0.1823,8244,0.0632,6290,0.0482,48156,0.3691,9263,0.071,26990,0.2069,18304,0.1403,41503,10455,10490,19283,1688,205,1147,1464,0.0112,24093,61669,0.4726,3609,0.0277,746,0.0057,847,0.0065,65243,0.5,22806,0.1748,29731,0.2279,675,0.0052,251,0.0019,8213,0.0629,3209,0.0246,15783,0.121,4469,0.0343
Mackellar,(NSW),37.58,LP/NP,134050,630.3,2.7995,45518,8817,0.0658,17126,0.1278,15357,0.1146,71835,0.5359,20917,0.156,39,1.86,4.17,91636,0.6836,34417,0.2567,478,0.0036,24254,0.1809,410,0.0031,32134,0.2397,4773,0.0356,15005,0.1119,11247,0.0839,1565,0.0117,15324,0.1143,14567,0.1087,13320,0.0994,2615,0.0195,10258,0.0765,32308,0.241,4277,0.0319,12793,0.0954,1692,16811,0.1254,19929,0.1487,7771,0.058,6916,0.0516,34269,0.2556,21862,0.1631,34512,0.2575,26441,0.1972,47186,10426,18062,16772,2247,336,10699,2827,0.0211,26417,67907,0.5066,1796,0.0134,334,0.0025,606,0.0045,69710,0.52,29165,0.2176,32831,0.2449,199,0.0015,109,0.0008,5399,0.0403,3611,0.0269,27702,0.2067,6401,0.0478
Macquarie,(NSW),57.04,ALP,134617,32,1.5051,43712,9079,0.0674,20105,0.1493,18064,0.1342,71643,0.5322,15757,0.1171,37,2,5.69,91426,0.6792,33203,0.2466,317,0.0024,25268,0.1877,2112,0.0157,19932,0.1481,1349,0.01,8027,0.0596,8886,0.066,306,0.0023,6522,0.0484,14384,0.1069,12455,0.0925,3867,0.0287,10693,0.0794,33321,0.2475,6201,0.0461,8254,0.0613,1326,16662,0.1238,22749,0.169,7829,0.0582,7779,0.0578,46023,0.3419,17434,0.1295,31775,0.236,21171,0.1573,47276,10379,16201,19277,1552,205,1505,3805,0.0283,25548,65009,0.4829,3073,0.0228,685,0.0051,869,0.0065,68042,0.5054,27963,0.2077,31779,0.2361,1120,0.0083,162,0.0012,5785,0.043,4006,0.0298,22547,0.1675,3785,0.0281
Makin,(SA),57.7,ALP,132722,1143.9,3.0584,40295,8027,0.0605,17759,0.1338,18169,0.1369,72814,0.5486,15961,0.1203,37,2.18,5.7,79903,0.602,27019,0.2036,1205,0.0091,32602,0.2456,1459,0.011,32317,0.2435,2747,0.0207,13735,0.1035,16860,0.127,1762,0.0133,14602,0.11,13540,0.102,14247,0.1073,4007,0.0302,10531,0.0793,32061,0.2416,8082,0.0609,5489,0.0414,1149,16614,0.1252,20902,0.1575,7806,0.0588,7124,0.0537,35072,0.2643,10093,0.076,30483,0.2297,16529,0.1245,48911,8935,16546,21453,1039,177,1649,1972,0.0149,27124,64902,0.489,2993,0.0226,707,0.0053,569,0.0043,67836,0.5111,25129,0.1893,31383,0.2365,315,0.0024,306,0.0023,9495,0.0715,3167,0.0239,16066,0.1211,4854,0.0366
Mallee,(Vic.),28.73,NP,128579,1.8,0.2553,42867,7764,0.0604,19385,0.1508,14915,0.116,63980,0.4976,22533,0.1752,40,1.59,3.5,89023,0.6924,29454,0.2291,1028,0.008,23399,0.182,2802,0.0218,9466,0.0736,1460,0.0114,5845,0.0455,2252,0.0175,1114,0.0087,7022,0.0546,12178,0.0947,14571,0.1133,3468,0.027,13612,0.1059,28098,0.2185,10038,0.0781,2905,0.0226,1005,12943,0.1007,21711,0.1689,5056,0.0393,3452,0.0268,46406,0.3609,7948,0.0618,23512,0.1829,12136,0.0944,48892,11651,20687,14290,892,126,3112,3861,0.03,27617,56602,0.4402,2883,0.0224,508,0.004,788,0.0061,59442,0.4623,26095,0.2029,26758,0.2081,11388,0.0886,222,0.0017,4655,0.0362,3018,0.0235,20749,0.1614,376,0.0029
Maranoa,(Qld),35.56,LP/NP,138510,0.2,-0.699,55153,9926,0.0717,21050,0.152,15492,0.1118,71374,0.5153,20573,0.1485,38,1.69,4.22,106106,0.7661,35258,0.2546,108,0.0008,17035,0.123,6586,0.0475,9082,0.0656,935,0.0068,3480,0.0251,3229,0.0233,321,0.0023,2795,0.0202,13227,0.0955,15981,0.1154,3513,0.0254,12681,0.0916,30606,0.221,10754,0.0776,3356,0.0242,998,13446,0.0971,21649,0.1563,5072,0.0366,3404,0.0246,57340,0.414,7971,0.0575,24999,0.1805,12423,0.0897,50566,14337,20477,13597,880,119,2342,6812,0.0492,27765,62772,0.4532,2763,0.0199,500,0.0036,771,0.0056,65502,0.4729,27834,0.201,29233,0.2111,13936,0.1006,1062,0.0077,4922,0.0355,3482,0.0251,21124,0.1525,454,0.0033
Maribyrnong,(Vic.),65.32,ALP,123688,1736.9,3.2398,34152,7043,0.0569,14421,0.1166,16347,0.1322,66263,0.5357,19628,0.1587,38,2.01,4.21,84051,0.6795,54929,0.4441,2717,0.022,15211,0.123,394,0.0032,43237,0.3496,5632,0.0455,38921,0.3147,2801,0.0226,9953,0.0805,50454,0.4079,11547,0.0934,11027,0.0892,3300,0.0267,11207,0.0906,24942,0.2017,8605,0.0696,6135,0.0496,1116,15573,0.1259,16314,0.1319,8360,0.0676,7579,0.0613,32333,0.2614,16302,0.1318,24372,0.197,16675,0.1348,45108,11050,19531,12564,1287,183,6299,1621,0.0131,21420,53656,0.4338,3857,0.0312,456,0.0037,1108,0.009,57445,0.4644,19969,0.1614,26231,0.2121,118,0.001,43,0.0003,7001,0.0566,3015,0.0244,16458,0.1331,6239,0.0504
Mayo,(SA),42.94,LP,130242,14.2,1.1523,46268,7463,0.0573,18403,0.1413,15531,0.1192,69759,0.5356,19095,0.1466,41,1.9,4.47,72924,0.5599,16519,0.1268,139,0.0011,37207,0.2857,851,0.0065,21366,0.164,1812,0.0139,6182,0.0475,13049,0.1002,204,0.0016,4840,0.0372,13737,0.1055,15567,0.1195,3276,0.0252,10151,0.0779,31472,0.2416,8387,0.0644,5971,0.0458,1134,15000,0.1152,22033,0.1692,7629,0.0586,6274,0.0482,32680,0.2509,15416,0.1184,30593,0.2349,13696,0.1052,47419,8059,17723,19855,1091,168,1299,2001,0.0154,29149,62091,0.4767,2506,0.0192,574,0.0044,718,0.0055,64604,0.496,29284,0.2248,30286,0.2325,3762,0.0289,563,0.0043,6266,0.0481,3655,0.0281,22002,0.1689,1777,0.0136
McEwen,(Vic.),49.98,LP,147220,13.8,1.1399,51778,10363,0.0704,23876,0.1622,18655,0.1267,79899,0.5427,14418,0.0979,36,2.03,6.84,86463,0.5873,37925,0.2576,452,0.0031,39164,0.266,1164,0.0079,19112,0.1298,1810,0.0123,8673,0.0589,7989,0.0543,540,0.0037,8622,0.0586,17385,0.1181,13336,0.0906,3764,0.0256,9107,0.0619,36602,0.2486,7332,0.0498,7247,0.0492,1202,19014,0.1292,27461,0.1865,8927,0.0606,6130,0.0416,40517,0.2752,14333,0.0974,32002,0.2174,18907,0.1284,49235,7559,16440,23698,1272,167,1296,2468,0.0168,33547,70575,0.4794,2857,0.0194,568,0.0039,837,0.0057,73481,0.4991,30407,0.2065,33488,0.2275,2581,0.0175,206,0.0014,8878,0.0603,3506,0.0238,21453,0.1457,2095,0.0142
McMahon,(NSW),,ALP,137091,916.2,2.962,37520,8927,0.0651,20474,0.1493,21768,0.1588,72621,0.5297,13320,0.0972,34,2.21,7.09,101044,0.7371,60995,0.4449,5791,0.0422,8934,0.0652,976,0.0071,55627,0.4058,6840,0.0499,49907,0.364,3174,0.0232,11633,0.0849,65955,0.4811,15546,0.1134,9344,0.0682,3975,0.029,5531,0.0403,28281,0.2063,8553,0.0624,6588,0.0481,1148,19481,0.1421,23424,0.1709,8232,0.06,7735,0.0564,45888,0.3347,9562,0.0697,25494,0.186,17929,0.1308,41706,9834,14823,15553,1614,223,2105,1190,0.0087,23209,59415,0.4334,4662,0.034,698,0.0051,1341,0.0098,64070,0.4674,23016,0.1679,28168,0.2055,267,0.0019,95,0.0007,9549,0.0697,3278,0.0239,12897,0.0941,4969,0.0362
McMillan,(Vic.),45.21,LP,118281,14.4,1.1584,42412,7355,0.0622,17702,0.1497,14352,0.1213,59504,0.5031,19354,0.1636,39,1.66,3.82,72373,0.6119,26491,0.224,190,0.0016,29482,0.2493,903,0.0076,13850,0.1171,894,0.0076,6069,0.0513,6269,0.053,359,0.003,4599,0.0389,11361,0.0961,12860,0.1087,3552,0.03,11350,0.096,26770,0.2263,8810,0.0745,3552,0.03,1037,12887,0.109,20174,0.1706,5678,0.048,3883,0.0328,40583,0.3431,8112,0.0686,23772,0.201,11983,0.1013,43796,9090,17430,15476,1026,140,2560,2164,0.0183,24512,50632,0.4281,2924,0.0247,484,0.0041,933,0.0079,53681,0.4538,22704,0.1919,24363,0.206,5208,0.044,381,0.0032,5600,0.0473,2648,0.0224,15131,0.1279,788,0.0067
McPherson,(Qld),41.17,LP/NP,129660,564.4,2.7516,62618,7432,0.0573,16741,0.1291,17147,0.1322,68289,0.5267,20072,0.1548,38,1.93,4.26,85863,0.6622,31526,0.2431,384,0.003,24244,0.187,1338,0.0103,29929,0.2308,6166,0.0476,10708,0.0826,8693,0.067,1060,0.0082,9859,0.076,11515,0.0888,14240,0.1098,4369,0.0337,10868,0.0838,27723,0.2138,8253,0.0637,5017,0.0387,1113,14986,0.1156,18073,0.1394,6137,0.0473,6179,0.0477,40649,0.3135,11836,0.0913,31180,0.2405,20359,0.157,47934,15361,15602,15329,1488,275,8266,2720,0.021,24859,59040,0.4553,3255,0.0251,552,0.0043,913,0.007,62322,0.4807,23383,0.1803,29683,0.2289,189,0.0015,114,0.0009,4658,0.0359,5928,0.0457,16344,0.1261,1299,0.01
Melbourne,(Vic.),72.27,ALP,155927,2908.5,3.4637,78148,6885,0.0442,9245,0.0593,33463,0.2146,93136,0.5973,13197,0.0846,31,4.32,9.59,65339,0.419,34098,0.2187,5663,0.0363,43724,0.2804,552,0.0035,52851,0.3389,19399,0.1244,41577,0.2666,5886,0.0377,8834,0.0567,45601,0.2925,7920,0.0508,15389,0.0987,3178,0.0204,22351,0.1433,21007,0.1347,6867,0.044,10771,0.0691,1507,23865,0.1531,9740,0.0625,3689,0.0237,27124,0.174,17686,0.1134,50163,0.3217,43479,0.2788,31556,0.2024,63861,36188,11892,13613,1732,258,31376,18725,0.1201,15693,79621,0.5106,5616,0.036,660,0.0042,858,0.0055,85249,0.5467,19073,0.1223,41876,0.2686,249,0.0016,152,0.001,4721,0.0303,6834,0.0438,42610,0.2733,17475,0.1121
Melbourne_Ports,(Vic.),57.15,ALP,141824,3264.1,3.5138,65023,6834,0.0482,9425,0.0665,18639,0.1314,90154,0.6357,16792,0.1184,35,3.29,6.48,58585,0.4131,26669,0.188,1276,0.009,32998,0.2327,337,0.0024,42467,0.2994,11712,0.0826,28038,0.1977,7487,0.0528,3325,0.0234,28996,0.2045,9057,0.0639,15644,0.1103,2205,0.0155,22746,0.1604,22701,0.1601,4325,0.0305,12651,0.0892,1851,19528,0.1377,10758,0.0759,6872,0.0485,13033,0.0919,15804,0.1114,44743,0.3155,41467,0.2924,30959,0.2183,59965,29024,14786,14220,1822,259,33625,8274,0.0583,19533,76455,0.5391,3424,0.0241,276,0.0019,803,0.0057,79897,0.5634,23169,0.1634,38668,0.2726,162,0.0011,233,0.0016,4961,0.035,5016,0.0354,42650,0.3007,15588,0.1099
Menzies,(Vic.),43.98,LP,121089,1009.2,3.004,33275,6306,0.0521,14997,0.1239,16821,0.1389,63856,0.5273,19119,0.1579,40,2,4.22,78672,0.6497,33662,0.278,1981,0.0164,22371,0.1847,123,0.001,39350,0.325,4833,0.0399,31846,0.263,4542,0.0375,5176,0.0427,40306,0.3329,13958,0.1153,11586,0.0957,2236,0.0185,6721,0.0555,27735,0.229,5834,0.0482,9789,0.0808,1433,17672,0.1459,18709,0.1545,8208,0.0678,8285,0.0684,25268,0.2087,23654,0.1953,29575,0.2442,22222,0.1835,40903,5617,19677,14326,1560,250,2013,1417,0.0117,27254,58540,0.4834,2499,0.0206,483,0.004,802,0.0066,61073,0.5044,26717,0.2206,28514,0.2355,154,0.0013,68,0.0006,5416,0.0447,3545,0.0293,24634,0.2034,3822,0.0316
Mitchell,(NSW),38.41,LP/NP,127615,1262.4,3.1012,48428,9281,0.0727,18850,0.1477,17298,0.1355,69543,0.5449,12668,0.0993,35,2.13,6.86,94122,0.7375,42871,0.3359,2641,0.0207,14500,0.1136,351,0.0028,37362,0.2928,4607,0.0361,26717,0.2094,6276,0.0492,2346,0.0184,29787,0.2334,16953,0.1328,10621,0.0832,2129,0.0167,5261,0.0412,31945,0.2503,3824,0.03,13877,0.1087,1832,18016,0.1412,22253,0.1744,9818,0.0769,8643,0.0677,32351,0.2535,23017,0.1804,32249,0.2527,24929,0.1953,40450,6391,13627,19229,2140,320,1830,1695,0.0133,27905,66681,0.5225,2301,0.018,480,0.0038,636,0.005,68988,0.5406,27191,0.2131,32315,0.2532,258,0.002,89,0.0007,6569,0.0515,3058,0.024,28375,0.2223,4638,0.0363
Moncrieff,(Qld),35.99,LP/NP,138225,1496.4,3.175,64356,6767,0.049,13871,0.1004,20330,0.1471,75350,0.5451,21890,0.1584,38,2.25,4.37,84460,0.611,32218,0.2331,894,0.0065,25328,0.1832,1347,0.0097,36546,0.2644,8157,0.059,16259,0.1176,8004,0.0579,1898,0.0137,15049,0.1089,9787,0.0708,15515,0.1122,3897,0.0282,14872,0.1076,24686,0.1786,7790,0.0564,5645,0.0408,1127,16294,0.1179,14850,0.1074,6412,0.0464,7536,0.0545,37830,0.2737,14359,0.1039,33018,0.2389,22908,0.1657,52909,19204,15711,15506,1487,258,15890,6975,0.0505,24310,63531,0.4596,3706,0.0268,625,0.0045,960,0.0069,67166,0.4859,24422,0.1767,31563,0.2283,204,0.0015,156,0.0011,4944,0.0358,7669,0.0555,18392,0.1331,2043,0.0148
